State Name,Year,Accident Severity,Speed Limit (km/h),Driver Age,Driver Gender,Alcohol Involvement,Number of Fatalities
Maharashtra,2002,Moderate,62,52,Female,1,9
Maharashtra,2019,Moderate,51,32,Female,1,10
Andhra Pradesh,2009,Severe,80,33,Female,1,11
Kerala,2009,Minor,68,38,Male,0,4
Telangana,2013,Moderate,109,34,Male,1,11
Tamil Nadu,2011,Severe,90,62,Male,1,14
Maharashtra,2014,Moderate,62,43,Male,1,12
Karnataka,2009,Minor,70,52,Female,0,5
Maharashtra,2009,Minor,60,37,Male,0,8
Karnataka,2018,Severe,63,37,Male,0,10
Telangana,2000,Minor,111,40,Female,1,7
Telangana,2023,Severe,48,22,Female,1,9
Telangana,2009,Severe,61,26,Male,0,8
Karnataka,2001,Minor,43,40,Male,0,4
Maharashtra,2016,Moderate,116,35,Male,1,14
Telangana,2023,Minor,42,46,Female,0,4
Andhra Pradesh,2006,Minor,67,28,Male,0,5
Karnataka,2006,Moderate,54,60,Male,0,8
Karnataka,2019,Moderate,47,65,Male,1,9
Maharashtra,2008,Minor,87,25,Female,0,8
Karnataka,2021,Severe,91,44,Male,0,11
Karnataka,2001,Minor,94,19,Female,0,5
Telangana,2013,Moderate,76,40,Female,1,10
Maharashtra,2016,Moderate,43,38,Female,1,10
Telangana,2000,Minor,94,27,Female,0,4
Telangana,2008,Severe,51,55,Female,0,7
Maharashtra,2019,Moderate,58,21,Male,0,9
Tamil Nadu,2020,Moderate,118,38,Male,0,9
Telangana,2018,Moderate,96,54,Female,0,9
Andhra Pradesh,2003,Minor,76,60,Female,1,10
Andhra Pradesh,2007,Minor,115,29,Male,0,8
Karnataka,2012,Moderate,46,65,Female,0,6
Andhra Pradesh,2003,Severe,94,69,Male,1,13
Karnataka,2008,Severe,67,70,Male,1,12
Tamil Nadu,2008,Minor,76,63,Female,0,8
Maharashtra,2021,Moderate,100,31,Male,1,13
Maharashtra,2017,Minor,114,69,Male,1,13
Maharashtra,2011,Minor,78,37,Male,0,7
Andhra Pradesh,2009,Moderate,62,64,Female,0,8
Tamil Nadu,2010,Moderate,91,25,Male,1,10
Andhra Pradesh,2006,Minor,50,44,Male,0,5
Andhra Pradesh,2008,Moderate,105,54,Male,0,10
Tamil Nadu,2005,Moderate,52,58,Female,1,10
Tamil Nadu,2018,Minor,116,38,Female,0,9
Tamil Nadu,2015,Severe,80,65,Female,1,14
Tamil Nadu,2014,Minor,88,52,Female,1,8
Maharashtra,2006,Moderate,54,61,Male,1,12
Kerala,2015,Severe,95,56,Male,1,11
Kerala,2004,Moderate,93,66,Male,1,9
Tamil Nadu,2015,Severe,70,32,Male,0,9
Kerala,2000,Minor,100,64,Female,1,7
Kerala,2018,Moderate,97,29,Female,0,7
Tamil Nadu,2004,Moderate,99,70,Female,0,10
Kerala,2006,Moderate,92,51,Male,1,11
Andhra Pradesh,2018,Severe,100,25,Female,0,11
Karnataka,2021,Moderate,119,54,Female,1,12
Karnataka,2004,Severe,81,47,Male,1,12
Tamil Nadu,2016,Minor,68,20,Male,0,5
Maharashtra,2021,Minor,66,47,Male,1,10
Tamil Nadu,2007,Moderate,83,46,Female,0,8
Maharashtra,2000,Moderate,44,18,Male,0,6
Karnataka,2001,Severe,91,33,Female,0,7
Tamil Nadu,2014,Minor,92,59,Female,1,10
Telangana,2019,Minor,91,48,Male,0,8
Andhra Pradesh,2017,Moderate,77,27,Female,1,10
Kerala,2010,Severe,83,47,Female,0,9
Maharashtra,2024,Severe,92,60,Male,0,13
Telangana,2009,Minor,41,43,Female,1,7
Kerala,2023,Minor,93,29,Female,0,6
Kerala,2023,Moderate,116,57,Female,0,9
Tamil Nadu,2003,Minor,74,22,Male,0,5
Kerala,2004,Severe,85,26,Female,1,7
Andhra Pradesh,2003,Moderate,111,28,Male,1,10
Telangana,2012,Minor,118,64,Male,0,7
Kerala,2024,Minor,94,40,Female,0,7
Tamil Nadu,2012,Minor,111,34,Male,1,10
Andhra Pradesh,2017,Severe,50,60,Female,1,12
Karnataka,2023,Minor,68,30,Male,1,8
Telangana,2001,Minor,108,34,Male,0,6
Kerala,2015,Severe,102,40,Female,0,10
Tamil Nadu,2000,Minor,86,56,Male,1,9
Karnataka,2018,Moderate,46,26,Female,1,8
Karnataka,2008,Minor,103,35,Female,0,5
Maharashtra,2002,Moderate,103,35,Female,0,9
Andhra Pradesh,2024,Minor,51,47,Female,1,9
Kerala,2006,Minor,51,59,Female,1,5
Tamil Nadu,2009,Moderate,75,61,Male,0,10
Maharashtra,2000,Minor,68,43,Female,1,9
Andhra Pradesh,2009,Moderate,50,35,Female,0,6
Maharashtra,2020,Minor,92,38,Female,0,10
Telangana,2008,Moderate,109,58,Female,0,8
Andhra Pradesh,2014,Severe,113,58,Male,1,15
Andhra Pradesh,2014,Minor,86,59,Male,0,10
Kerala,2002,Minor,72,50,Male,1,6
Andhra Pradesh,2024,Severe,120,60,Male,1,15
Maharashtra,2004,Moderate,106,31,Female,0,10
Andhra Pradesh,2008,Minor,82,27,Female,1,9
Kerala,2021,Moderate,57,45,Female,0,6
Kerala,2008,Minor,113,31,Female,1,8
Telangana,2022,Minor,92,36,Female,0,6
Maharashtra,2006,Severe,78,43,Female,0,9
Karnataka,2023,Severe,111,27,Female,0,10
Karnataka,2022,Moderate,73,34,Female,0,7
Andhra Pradesh,2011,Minor,76,51,Female,0,7
Telangana,2024,Minor,80,31,Female,1,8
Tamil Nadu,2008,Severe,88,43,Male,1,12
Andhra Pradesh,2005,Minor,49,67,Male,0,5
Telangana,2022,Minor,79,51,Female,1,9
Maharashtra,2001,Minor,57,69,Female,1,9
Maharashtra,2008,Moderate,64,36,Male,0,8
Maharashtra,2016,Minor,80,41,Female,0,8
Maharashtra,2000,Minor,75,48,Female,0,6
Maharashtra,2018,Severe,41,57,Female,0,10
Telangana,2005,Moderate,113,23,Female,0,9
Telangana,2004,Minor,88,37,Female,1,7
Kerala,2001,Moderate,106,56,Male,1,9
Karnataka,2008,Minor,92,62,Female,1,8
Maharashtra,2013,Moderate,58,51,Male,0,9
Tamil Nadu,2003,Moderate,65,39,Female,1,9
Telangana,2003,Minor,93,24,Female,0,6
Tamil Nadu,2020,Minor,90,50,Female,0,8
Tamil Nadu,2014,Moderate,64,23,Male,0,8
Tamil Nadu,2007,Severe,56,33,Male,0,8
Kerala,2003,Moderate,113,25,Female,1,8
Telangana,2015,Minor,100,62,Male,0,7
Tamil Nadu,2020,Minor,85,40,Male,1,10
Maharashtra,2003,Minor,94,35,Male,0,8
Andhra Pradesh,2015,Minor,89,31,Female,1,8
Tamil Nadu,2021,Moderate,114,67,Male,1,15
Kerala,2011,Moderate,50,53,Male,0,7
Telangana,2015,Minor,51,32,Male,1,9
Kerala,2018,Minor,79,22,Female,1,7
Tamil Nadu,2007,Moderate,87,70,Male,0,10
Telangana,2005,Minor,95,63,Male,1,9
Andhra Pradesh,2009,Severe,47,65,Female,1,11
Tamil Nadu,2004,Moderate,53,32,Female,1,9
Kerala,2017,Severe,95,28,Female,0,8
Karnataka,2009,Severe,93,19,Male,0,9
Maharashtra,2009,Severe,56,40,Female,1,12
Kerala,2006,Minor,84,41,Female,1,6
Telangana,2017,Severe,44,35,Male,1,11
Tamil Nadu,2000,Minor,42,21,Female,1,5
Maharashtra,2006,Minor,48,32,Male,0,7
Tamil Nadu,2020,Moderate,59,29,Female,1,9
Telangana,2000,Minor,60,20,Female,1,5
Tamil Nadu,2014,Minor,119,49,Male,1,11
Karnataka,2003,Minor,72,53,Male,0,5
Maharashtra,2019,Minor,44,38,Male,1,8
Maharashtra,2009,Moderate,63,65,Male,1,12
Telangana,2022,Minor,102,23,Female,0,7
Karnataka,2008,Moderate,118,19,Female,1,8
Kerala,2001,Severe,65,26,Male,1,8
Tamil Nadu,2013,Moderate,72,29,Female,1,9
Andhra Pradesh,2015,Moderate,57,61,Male,0,9
Tamil Nadu,2000,Severe,57,41,Female,0,7
Tamil Nadu,2001,Minor,77,31,Male,1,9
Kerala,2006,Moderate,72,66,Male,1,9
Tamil Nadu,2009,Severe,66,58,Male,0,12
Karnataka,2021,Severe,88,29,Male,0,8
Karnataka,2019,Moderate,89,44,Female,1,11
Maharashtra,2000,Minor,54,27,Male,1,8
Telangana,2012,Severe,116,60,Male,1,13
Andhra Pradesh,2000,Minor,91,19,Female,0,5
Tamil Nadu,2004,Minor,107,48,Female,0,7
Tamil Nadu,2015,Minor,58,45,Male,0,7
Kerala,2014,Moderate,64,33,Female,0,5
Telangana,2016,Severe,115,18,Female,0,8
Karnataka,2022,Severe,115,39,Male,1,13
Andhra Pradesh,2015,Moderate,64,18,Male,1,9
Maharashtra,2012,Minor,72,48,Male,1,11
Karnataka,2010,Moderate,99,39,Female,0,7
Telangana,2016,Moderate,76,51,Female,1,10
Maharashtra,2016,Moderate,82,29,Female,0,8
Kerala,2001,Severe,48,40,Male,0,6
Kerala,2012,Severe,53,45,Male,1,10
Tamil Nadu,2013,Moderate,42,69,Female,1,9
Telangana,2010,Minor,108,67,Male,1,10
Andhra Pradesh,2009,Moderate,95,29,Female,1,11
Maharashtra,2002,Severe,65,44,Female,1,11
Karnataka,2016,Minor,92,40,Male,0,7
Telangana,2014,Severe,80,18,Male,0,8
Telangana,2008,Minor,60,60,Female,0,6
Kerala,2009,Moderate,78,19,Male,1,8
Tamil Nadu,2007,Moderate,119,61,Male,1,12
Tamil Nadu,2020,Moderate,62,48,Male,1,12
Maharashtra,2012,Severe,113,19,Male,1,15
Kerala,2017,Minor,97,66,Male,0,6
Telangana,2004,Minor,108,42,Male,1,7
Andhra Pradesh,2005,Moderate,114,55,Female,1,10
Kerala,2016,Minor,68,65,Male,1,7
Maharashtra,2010,Moderate,101,36,Female,1,12
Maharashtra,2019,Minor,92,45,Female,1,11
Kerala,2015,Minor,84,23,Female,0,5
Maharashtra,2008,Moderate,66,56,Male,1,11
Kerala,2001,Moderate,73,36,Female,1,6
Karnataka,2004,Minor,53,69,Male,1,7
Kerala,2000,Minor,80,34,Female,0,4
Kerala,2003,Minor,113,23,Female,1,5
Maharashtra,2003,Moderate,99,32,Female,0,9
Maharashtra,2021,Minor,81,39,Male,0,10
Tamil Nadu,2024,Moderate,90,58,Female,1,12
Tamil Nadu,2002,Moderate,114,51,Female,1,11
Karnataka,2008,Moderate,50,22,Male,1,7
Tamil Nadu,2021,Minor,74,70,Female,1,11
Kerala,2022,Moderate,58,40,Female,0,6
Maharashtra,2011,Severe,104,22,Female,0,11
Tamil Nadu,2009,Minor,115,61,Female,0,9
Tamil Nadu,2001,Minor,100,27,Female,0,5
Karnataka,2010,Moderate,86,21,Female,1,10
Telangana,2009,Minor,53,29,Male,1,7
Karnataka,2021,Moderate,106,64,Female,0,10
Kerala,2005,Severe,91,27,Male,0,8
Maharashtra,2017,Moderate,71,47,Male,0,10
Karnataka,2001,Moderate,119,67,Male,0,9
Tamil Nadu,2001,Moderate,49,41,Male,1,9
Maharashtra,2009,Minor,56,22,Female,0,5
Maharashtra,2015,Minor,79,30,Female,0,8
Tamil Nadu,2011,Severe,107,53,Male,0,13
Karnataka,2000,Severe,102,26,Male,0,9
Tamil Nadu,2020,Severe,54,35,Female,1,11
Telangana,2007,Severe,78,52,Female,0,9
Maharashtra,2015,Minor,96,48,Female,0,9
Andhra Pradesh,2017,Minor,49,41,Male,0,6
Andhra Pradesh,2012,Minor,110,60,Male,0,9
Kerala,2014,Minor,56,21,Male,0,4
Tamil Nadu,2020,Severe,115,58,Female,1,15
Tamil Nadu,2011,Severe,56,43,Male,0,11
Kerala,2007,Severe,55,61,Male,0,8
Kerala,2009,Moderate,117,59,Female,0,7
Kerala,2013,Minor,42,27,Female,0,2
Maharashtra,2004,Minor,90,58,Female,1,10
Telangana,2017,Minor,85,59,Female,1,10
Tamil Nadu,2018,Moderate,94,26,Female,1,11
Maharashtra,2014,Moderate,65,18,Male,0,8
Kerala,2005,Severe,115,33,Male,1,11
Tamil Nadu,2010,Severe,70,63,Female,0,10
Maharashtra,2020,Minor,120,30,Male,1,13
Telangana,2010,Minor,111,55,Female,1,8
Maharashtra,2019,Moderate,58,31,Male,1,12
Telangana,2019,Minor,107,57,Female,1,8
Kerala,2020,Severe,54,40,Female,0,8
Telangana,2017,Moderate,97,35,Male,1,11
Tamil Nadu,2024,Minor,117,45,Female,1,10
Kerala,2017,Moderate,69,37,Female,0,4
Tamil Nadu,2009,Moderate,87,18,Female,1,10
Andhra Pradesh,2001,Severe,95,29,Male,1,12
Karnataka,2008,Minor,81,44,Male,1,7
Telangana,2013,Severe,63,60,Female,0,9
Karnataka,2018,Moderate,91,30,Male,0,8
Karnataka,2009,Moderate,82,21,Male,1,9
Telangana,2022,Minor,73,42,Female,1,8
Kerala,2003,Moderate,99,23,Male,0,5
Andhra Pradesh,2005,Moderate,42,62,Female,0,7
Tamil Nadu,2013,Moderate,107,39,Female,1,10
Maharashtra,2003,Severe,50,62,Female,0,9
Tamil Nadu,2014,Moderate,52,55,Female,1,10
Maharashtra,2015,Severe,89,53,Male,0,12
Tamil Nadu,2006,Minor,58,70,Female,0,6
Telangana,2016,Severe,83,20,Male,1,11
Andhra Pradesh,2018,Minor,72,32,Male,1,11
Maharashtra,2018,Severe,77,28,Male,1,14
Kerala,2016,Severe,42,51,Female,0,7
Tamil Nadu,2005,Minor,104,44,Female,1,11
Tamil Nadu,2010,Moderate,74,40,Female,1,10
Maharashtra,2015,Moderate,75,34,Female,0,9
Kerala,2024,Minor,77,40,Female,0,5
Kerala,2007,Moderate,78,51,Female,1,7
Telangana,2010,Minor,64,38,Female,0,5
Telangana,2006,Severe,103,50,Male,1,13
Telangana,2023,Severe,52,22,Male,0,8
Telangana,2021,Moderate,107,69,Female,0,11
Telangana,2024,Moderate,109,34,Female,0,8
Telangana,2018,Moderate,114,18,Male,0,9
Andhra Pradesh,2009,Minor,40,24,Female,1,7
Kerala,2008,Moderate,111,20,Male,0,7
Telangana,2003,Moderate,93,43,Male,1,10
Kerala,2022,Severe,48,33,Female,0,7
Kerala,2014,Moderate,75,33,Female,1,8
Karnataka,2012,Moderate,76,61,Male,1,10
Andhra Pradesh,2024,Severe,98,58,Male,0,12
Telangana,2001,Minor,60,31,Female,1,5
Tamil Nadu,2001,Moderate,59,61,Male,1,11
Maharashtra,2015,Moderate,40,43,Female,1,10
Tamil Nadu,2008,Minor,98,44,Female,1,9
Andhra Pradesh,2012,Moderate,67,65,Female,1,10
Maharashtra,2002,Moderate,110,34,Female,1,12
Andhra Pradesh,2008,Moderate,95,61,Male,0,10
Kerala,2012,Moderate,48,21,Female,1,7
Maharashtra,2020,Moderate,104,34,Female,1,12
Kerala,2021,Severe,75,50,Male,1,13
Tamil Nadu,2001,Severe,73,47,Male,0,9
Tamil Nadu,2007,Minor,120,38,Male,0,10
Maharashtra,2008,Severe,71,34,Female,0,9
Maharashtra,2015,Moderate,105,28,Male,1,12
Telangana,2001,Severe,64,68,Male,0,8
Andhra Pradesh,2005,Moderate,90,47,Female,0,8
Telangana,2021,Minor,102,35,Male,0,8
Andhra Pradesh,2007,Minor,84,37,Male,1,7
Telangana,2004,Moderate,65,51,Male,0,7
Kerala,2008,Moderate,60,58,Male,0,5
Maharashtra,2000,Moderate,90,45,Female,1,10
Tamil Nadu,2008,Moderate,63,26,Female,1,9
Andhra Pradesh,2009,Minor,51,61,Female,0,6
Andhra Pradesh,2022,Minor,50,48,Male,1,10
Tamil Nadu,2003,Moderate,66,62,Male,0,8
Telangana,2002,Minor,62,33,Male,1,6
Andhra Pradesh,2009,Moderate,72,48,Female,0,7
Kerala,2014,Minor,119,46,Male,1,8
Maharashtra,2010,Severe,77,30,Female,1,12
Tamil Nadu,2013,Minor,94,40,Female,1,9
Maharashtra,2005,Minor,109,31,Male,0,9
Andhra Pradesh,2011,Moderate,81,56,Male,0,9
Andhra Pradesh,2012,Moderate,68,19,Male,0,6
Tamil Nadu,2016,Minor,73,29,Female,1,9
Kerala,2015,Severe,96,45,Male,1,11
Karnataka,2002,Minor,42,49,Male,0,5
Tamil Nadu,2001,Moderate,45,66,Male,1,7
Karnataka,2010,Minor,87,41,Male,0,8
Telangana,2008,Minor,103,54,Male,0,7
Karnataka,2002,Moderate,52,46,Female,0,6
Kerala,2017,Minor,75,69,Male,1,8
Telangana,2019,Severe,118,59,Female,0,11
Karnataka,2014,Minor,109,35,Female,0,7
Telangana,2013,Moderate,72,20,Male,0,7
Karnataka,2001,Minor,115,30,Female,0,5
Kerala,2016,Minor,96,30,Female,0,6
Karnataka,2021,Minor,94,59,Male,1,10
Karnataka,2007,Severe,52,46,Female,1,10
Karnataka,2009,Moderate,90,19,Female,0,6
Tamil Nadu,2017,Severe,92,45,Female,0,11
Tamil Nadu,2024,Moderate,75,65,Female,0,10
Tamil Nadu,2018,Severe,44,21,Male,0,9
Kerala,2007,Moderate,64,68,Female,1,8
Telangana,2007,Minor,120,22,Male,1,10
Andhra Pradesh,2002,Minor,76,56,Female,0,6
Karnataka,2002,Moderate,58,58,Female,1,7
Karnataka,2011,Moderate,74,22,Male,1,8
Kerala,2021,Minor,73,25,Female,0,5
Karnataka,2016,Moderate,93,51,Female,0,9
Tamil Nadu,2003,Moderate,85,42,Male,0,7
Andhra Pradesh,2016,Moderate,45,44,Male,0,7
Maharashtra,2013,Minor,40,69,Male,0,8
Karnataka,2018,Moderate,110,69,Male,1,14
Tamil Nadu,2008,Minor,73,24,Male,1,7
Maharashtra,2020,Minor,95,53,Male,1,12
Andhra Pradesh,2011,Moderate,65,49,Male,1,10
Maharashtra,2004,Minor,81,38,Male,0,8
Tamil Nadu,2010,Minor,77,64,Female,1,9
Telangana,2019,Minor,65,35,Male,0,7
Telangana,2002,Moderate,98,19,Female,1,6
Maharashtra,2020,Minor,63,63,Female,0,8
Kerala,2014,Minor,60,59,Female,1,6
Maharashtra,2013,Moderate,99,22,Male,1,11
Karnataka,2010,Moderate,59,61,Male,1,8
Karnataka,2019,Severe,45,59,Female,0,9
Telangana,2007,Minor,106,67,Male,0,8
Kerala,2003,Minor,49,55,Male,1,6
Tamil Nadu,2011,Moderate,51,45,Male,0,7
Karnataka,2007,Minor,61,48,Male,1,8
Telangana,2005,Severe,101,61,Female,1,11
Andhra Pradesh,2014,Moderate,100,41,Male,0,9
Telangana,2011,Minor,119,50,Female,0,8
Karnataka,2015,Severe,56,56,Male,1,10
Karnataka,2015,Minor,49,29,Female,1,7
Telangana,2020,Severe,51,56,Female,1,10
Tamil Nadu,2019,Severe,79,26,Male,1,12
Maharashtra,2019,Moderate,62,69,Male,1,12
Karnataka,2003,Minor,79,32,Female,1,6
Telangana,2010,Minor,113,40,Female,1,9
Telangana,2012,Minor,113,61,Male,0,8
Kerala,2008,Minor,89,62,Male,0,5
Maharashtra,2003,Moderate,49,39,Male,0,7
Andhra Pradesh,2011,Severe,43,53,Male,0,9
Tamil Nadu,2008,Moderate,40,27,Female,0,6
Andhra Pradesh,2012,Moderate,82,45,Male,0,10
Maharashtra,2015,Moderate,44,52,Male,0,8
Maharashtra,2005,Severe,73,46,Male,1,12
Maharashtra,2009,Minor,105,22,Female,1,10
Andhra Pradesh,2012,Moderate,63,21,Male,0,8
Maharashtra,2006,Severe,53,68,Female,1,11
Telangana,2018,Severe,80,32,Male,0,9
Andhra Pradesh,2023,Severe,81,47,Female,0,10
Maharashtra,2018,Moderate,52,43,Female,0,8
Telangana,2016,Minor,68,40,Male,0,7
Kerala,2012,Moderate,104,56,Female,1,10
Maharashtra,2012,Minor,85,46,Female,0,8
Andhra Pradesh,2020,Moderate,73,39,Male,0,9
Karnataka,2001,Moderate,102,52,Female,0,7
Maharashtra,2009,Moderate,43,65,Male,1,10
Karnataka,2021,Severe,67,64,Male,1,12
Telangana,2012,Moderate,40,35,Male,0,6
Kerala,2008,Minor,75,52,Female,1,7
Tamil Nadu,2000,Minor,52,63,Female,0,6
Kerala,2013,Severe,44,50,Female,1,8
Maharashtra,2015,Minor,53,24,Female,0,6
Karnataka,2019,Minor,119,51,Male,0,8
Karnataka,2014,Minor,71,27,Female,0,6
Andhra Pradesh,2000,Moderate,89,41,Male,1,9
Karnataka,2016,Minor,66,42,Female,1,7
Andhra Pradesh,2023,Severe,74,65,Female,0,11
Telangana,2012,Severe,42,61,Female,1,10
Tamil Nadu,2014,Severe,43,44,Male,1,12
Maharashtra,2015,Minor,46,67,Male,0,8
Andhra Pradesh,2015,Severe,116,23,Male,0,11
Tamil Nadu,2001,Severe,42,66,Male,1,11
Karnataka,2016,Severe,120,25,Female,0,10
Karnataka,2010,Moderate,98,38,Female,1,10
Tamil Nadu,2007,Moderate,113,58,Female,0,10
Karnataka,2019,Minor,40,36,Female,0,4
Telangana,2002,Severe,67,51,Male,0,9
Telangana,2011,Minor,98,56,Male,0,7
Tamil Nadu,2019,Minor,92,60,Male,0,10
Andhra Pradesh,2015,Severe,49,40,Female,0,8
Andhra Pradesh,2013,Moderate,110,30,Female,0,10
Tamil Nadu,2015,Minor,42,59,Female,0,7
Andhra Pradesh,2020,Severe,46,64,Female,1,12
Andhra Pradesh,2016,Severe,48,70,Female,1,12
Telangana,2010,Minor,108,56,Female,1,9
Andhra Pradesh,2016,Severe,52,45,Female,1,10
Kerala,2018,Minor,79,23,Male,1,6
Maharashtra,2021,Minor,101,29,Male,1,13
Karnataka,2000,Minor,101,20,Female,1,6
Kerala,2011,Minor,49,65,Female,1,7
Andhra Pradesh,2014,Minor,50,37,Female,1,8
Telangana,2017,Minor,115,58,Female,0,8
Tamil Nadu,2022,Severe,101,59,Male,1,15
Andhra Pradesh,2013,Moderate,116,62,Male,1,12
Telangana,2000,Severe,95,25,Female,0,6
Maharashtra,2012,Moderate,88,43,Male,1,12
Andhra Pradesh,2014,Minor,55,55,Male,0,8
Tamil Nadu,2006,Severe,112,45,Female,0,12
Telangana,2014,Severe,113,52,Male,1,13
Telangana,2019,Minor,48,61,Female,1,9
Telangana,2009,Minor,72,58,Female,0,5
Maharashtra,2013,Moderate,74,58,Female,1,11
Andhra Pradesh,2005,Moderate,114,60,Female,1,13
Maharashtra,2013,Severe,78,55,Male,1,15
Karnataka,2023,Minor,116,19,Female,1,10
Karnataka,2024,Minor,64,24,Female,0,4
Andhra Pradesh,2021,Moderate,119,58,Male,0,13
Maharashtra,2011,Moderate,95,42,Female,1,11
Tamil Nadu,2010,Minor,87,68,Male,1,11
Telangana,2024,Minor,49,67,Male,1,9
Telangana,2019,Moderate,80,49,Female,0,9
Andhra Pradesh,2021,Moderate,98,29,Female,1,11
Karnataka,2023,Minor,67,70,Male,1,12
Karnataka,2024,Moderate,80,28,Male,0,9
Telangana,2018,Severe,105,27,Female,0,9
Andhra Pradesh,2001,Severe,90,52,Female,1,10
Maharashtra,2021,Minor,101,61,Female,0,9
Karnataka,2019,Minor,69,21,Female,1,8
Maharashtra,2000,Severe,79,59,Female,0,11
Karnataka,2007,Minor,79,19,Female,0,2
Karnataka,2024,Moderate,108,61,Female,0,11
Kerala,2013,Moderate,101,45,Female,0,7
Karnataka,2008,Minor,54,60,Male,0,7
Tamil Nadu,2001,Moderate,42,63,Male,0,6
Andhra Pradesh,2024,Moderate,63,64,Male,1,12
Andhra Pradesh,2022,Moderate,80,31,Male,1,12
Maharashtra,2004,Minor,102,61,Female,0,8
Karnataka,2022,Severe,87,46,Female,0,9
Tamil Nadu,2024,Moderate,100,19,Female,1,12
Maharashtra,2007,Moderate,87,51,Male,1,12
Kerala,2015,Severe,86,50,Male,0,9
Maharashtra,2021,Moderate,95,37,Female,0,12
Maharashtra,2015,Severe,115,64,Male,1,15
Karnataka,2012,Severe,47,47,Female,0,8
Kerala,2019,Minor,117,59,Female,1,10
Maharashtra,2014,Moderate,57,43,Male,0,9
Tamil Nadu,2000,Severe,62,37,Male,0,7
Tamil Nadu,2021,Minor,108,18,Female,0,8
Andhra Pradesh,2002,Minor,104,18,Male,0,7
Kerala,2005,Severe,85,42,Female,1,9
Kerala,2021,Severe,105,50,Female,1,11
Andhra Pradesh,2013,Severe,119,40,Female,1,14
Maharashtra,2003,Minor,108,28,Female,1,9
Kerala,2017,Minor,61,61,Male,1,7
Tamil Nadu,2014,Minor,104,32,Female,1,9
Tamil Nadu,2008,Moderate,51,31,Male,0,7
Karnataka,2017,Moderate,58,18,Female,0,6
Kerala,2002,Minor,61,50,Male,1,6
Maharashtra,2009,Minor,94,23,Female,0,7
Andhra Pradesh,2016,Moderate,101,40,Female,1,12
Andhra Pradesh,2006,Moderate,90,43,Male,1,11
Maharashtra,2014,Minor,87,20,Female,0,8
Telangana,2000,Severe,56,63,Female,1,10
Karnataka,2024,Minor,52,23,Female,0,4
Andhra Pradesh,2010,Moderate,67,57,Female,1,10
